date,bulletin_no,currency_code,currency_unit,forex_buying,forex_selling
2026-04-28,2026/80,KRW,1,0.03032,0.03072
2026-04-28,2026/80,KWD,1,145.9478,147.8576
2026-04-28,2026/80,KZT,1,0.09748,0.09875
2026-04-28,2026/80,NOK,1,4.8219,4.8543
2026-04-28,2026/80,PKR,1,0.16044,0.16254
2026-04-28,2026/80,QAR,1,12.2674,12.4279
2026-04-28,2026/80,RON,1,10.2657,10.4000
2026-04-28,2026/80,RUB,1,0.59590,0.60370
2026-04-28,2026/80,SAR,1,11.9899,12.0115
2026-04-28,2026/80,SEK,1,4.8331,4.8831
2026-04-28,2026/80,USD,1,44.9705,45.0515
2026-04-29,2026/81,AED,1,12.1791,12.3384
2026-04-29,2026/81,AUD,1,32.1238,32.3333
2026-04-29,2026/81,AZN,1,26.3134,26.6578
2026-04-29,2026/81,CAD,1,32.8275,32.9756
2026-04-29,2026/81,CHF,1,56.8509,57.2160
2026-04-29,2026/81,CNY,1,6.5468,6.6325
2026-04-29,2026/81,DKK,1,7.0325,7.0671
2026-04-29,2026/81,EUR,1,52.6433,52.7382
2026-04-29,2026/81,GBP,1,60.6463,60.9624
2026-04-29,2026/81,JPY,100,28.0902,28.2762
2026-04-29,2026/81,KRW,1,0.03025,0.03065
2026-04-29,2026/81,KWD,1,145.9235,147.8330
2026-04-29,2026/81,KZT,1,0.09676,0.09802
2026-04-29,2026/81,NOK,1,4.8201,4.8525
2026-04-29,2026/81,PKR,1,0.16049,0.16259
2026-04-29,2026/81,QAR,1,12.2714,12.4320
2026-04-29,2026/81,RON,1,10.2637,10.3980
2026-04-29,2026/81,RUB,1,0.59563,0.60342
2026-04-29,2026/81,SAR,1,11.9942,12.0158
2026-04-29,2026/81,SEK,1,4.8311,4.8812
2026-04-29,2026/81,USD,1,44.9850,45.0661
2026-04-30,2026/82,AED,1,12.1747,12.3340
2026-04-30,2026/82,AUD,1,32.0269,32.2357
2026-04-30,2026/82,AZN,1,26.3042,26.6484
2026-04-30,2026/82,CAD,1,32.8596,33.0078
2026-04-30,2026/82,CHF,1,56.9204,57.2859
2026-04-30,2026/82,CNY,1,6.5455,6.6312
2026-04-30,2026/82,DKK,1,7.0247,7.0592
2026-04-30,2026/82,EUR,1,52.5723,52.6670
2026-04-30,2026/82,GBP,1,60.6013,60.9173
2026-04-30,2026/82,JPY,100,28.2372,28.4242
2026-04-30,2026/82,KRW,1,0.03023,0.03062
2026-04-30,2026/82,KWD,1,145.7771,147.6846
2026-04-30,2026/82,KZT,1,0.09657,0.09784
2026-04-30,2026/82,NOK,1,4.8061,4.8384
2026-04-30,2026/82,PKR,1,0.16045,0.16255
2026-04-30,2026/82,QAR,1,12.2669,12.4274
2026-04-30,2026/82,RON,1,10.1480,10.2808
2026-04-30,2026/82,RUB,1,0.59595,0.60375
2026-04-30,2026/82,SAR,1,11.9902,12.0118
